Name,Latitude,Longitude,Prefecture,Region,Priority,ColorGroup,Description
Mount Fuji,35.3606,138.7274,Yamanashi,A,★★,02 Yamanashi,Early‑morning sunrise visit (JR Chūō Line → Fuji‑Kyūko Line)
Asaba Ryokan,35.5065,138.7648,Yamanashi,A,★★,02 Yamanashi,"Kawaguchiko – Accommodation (Ryokan) – Traditional ryokan with Lake Kawaguchiko views, on‑sen"
Lake Kawaguchi,35.5130603,138.7448243,Yamanashi,A,★★,02 Yamanashi,One of the best Mount Fuji view spots; free; beautiful in cherry-blossom and autumn seasons. From 'Unreal places' slideshow.
Shiraito Falls,35.312991,138.5872234,Shizuoka,A,★★,03 Shizuoka,UNESCO World Heritage waterfall near Mt. Fuji (part of the Fuji listing); featured in Fuji Soul Tours stopover itinerary. Fuji area day stop.
Kitaguchi Hongu Fuji Sengen Shrine,35.4710138,138.7926376,Yamanashi,A,★★,02 Yamanashi,"The main shrine of Mt. Fuji (north base, Fujiyoshida); traditional starting point of the Fuji climb. Featured in Fuji Soul Tours stopover itinerary."
Hasedera Temple (Nagaya Temple),34.5115,135.8605,Nara,C,★★,05 Nara,"Temple – Also known as Hasedera, famous for its large wooden Kannon statue and beautiful gardens"
Hazonji Temple (Baoshan Temple),34.6853,135.8049,Nara,C,★★★★,05 Nara,"Temple – Hōzan-ji (寶山寺), Ikoma, Nara. Historic mountaintop temple with beautiful autumn foliage; known as Ikomasei (生駒聖天). The Tourist Films mist-shrouded 'another world' reel (09-07) highlights its atmospheric, otherworldly fog setting."
Tsubasoka Temple,34.685,135.805,Nara,C,★★,05 Nara,Temple – Small temple in Nara known for its serene atmosphere
Katsura Rikyu,34.9874,135.732,Kyoto,C,★★,04 Kyoto,"Palace / Garden – Imperial villa and garden in western Kyoto, renowned for its traditional architecture and landscape design"
Hannya-ji Temple,34.6722,135.7982,Nara,C,★★,05 Nara,"Nara temple, flower-framed in cosmos season, quieter than the main temple crowds."
Futai-ji Temple,34.6883,135.804,Nara,C,★★,05 Nara,"Nara temple, quiet old architecture and a pond garden."
Takisaka no Michi,34.683,135.845,Nara,C,★★,05 Nara,Mossy stone trail through forest history near Nara; wear grip shoes.
Soni Highland,34.518,136.086,Nara,C,★★,05 Nara,Wide pampas-grass hills and sunset views in Nara; check bus times.
Mitarai Valley,34.5,135.9,Nara,C,★★,05 Nara,Clear river pools and gorge scenery in Nara.
Asuka Stone Monuments,34.4667,135.8167,Nara,C,★★,05 Nara,"Ancient carved stones in rural Nara landscape, 6th-century era."
Nachi Falls,33.6752833,135.8876266,Wakayama,C,★★★★,07 Wakayama,"Japan's tallest single-drop waterfall (133m) and largest of the 48 Nachi Falls — sacred to Hiro Shrine, which worships the waterfall as its deity. Crest 13m, basin 10m deep, ~1 ton water/sec. Free view area, small fee for closest deck. Misty/otherworldly on rainy days."
Arashiyama Bamboo Forest,35.0167419,135.6711482,Kyoto,C,★★,04 Kyoto,"Kyoto's iconic bamboo grove; free entry, best early morning. Real talk (Kyoto guide Naoya, 09-05): it looks stunning in photos but the actual walk is SHORT and way too crowded — low ROI. Consider Philosopher's Path (recommended) or Kibune instead."
Philosopher's Path,35.0247911,135.7963761,Kyoto,C,★★,04 Kyoto,Kyoto canal-side walk; RECOMMENDED by guide Naoya — beautiful residential views esp. cherry-blossom and autumn seasons; great photos. (from 09-05 guide verdicts)
Kibune,35.1225862,135.76425,Kyoto,C,★★,04 Kyoto,"Mountain village north of Kyoto; RECOMMENDED by guide Naoya — a bit far from the city but the best nature of Kyoto, cooler seasons (kawadoko river dining). (from 09-05 guide verdicts)"
Eikando Temple,35.0146816,135.790817,Kyoto,C,★★,04 Kyoto,"Kyoto autumn spot #1 (guide Naoya): famous autumn foliage + night illumination/light show, very popular with locals. Trip is Oct — check foliage timing."
Tofukuji Temple,34.9760806,135.7736932,Kyoto,C,★★,04 Kyoto,Kyoto autumn spot #2 (guide Naoya): spectacular autumn leaves over Tsutenkyo bridge; often compared to Fushimi Inari crowds but this is THE autumn-view temple.
Rurikoin Temple,35.0634463,135.808589,Kyoto,C,★★,04 Kyoto,"Kyoto autumn spot #3 (guide Naoya): autumn maple reflections on the polished table inside — REQUIRES reservation, limited entry."
Fushimi Inari Taisha,34.9675192,135.7797101,Kyoto,C,★★,04 Kyoto,Iconic shrine with thousands of torii gates. Naoya's one-day route: GO 6-7am to beat the crowds (earlier he flagged it as too crowded LATER in the day — timing is everything).
Kiyomizu-dera,34.994303,135.7844389,Kyoto,C,★★,04 Kyoto,"UNESCO temple in Higashiyama. Naoya one-day route: beautiful, but crowded — visit via the Higashiyama/Ninenzaka photo route. Was flagged 'too crowded' but route says worth it early."
Gion District,35.0046897,135.778403,Kyoto,C,★★,04 Kyoto,Kyoto's famous geisha/maiko district (Hanamachi). Naoya one-day route stop.
Nishiki Market,35.0050244,135.7655699,Kyoto,C,★★,04 Kyoto,"Kyoto's downtown covered food market ('Kyoto's kitchen'), 400yr old. Naoya one-day route: great lunch stop."
Nijo Castle,35.0140076,135.7485369,Kyoto,C,★★,04 Kyoto,"UNESCO World Heritage castle, 400-year-old palace. Naoya one-day route: afternoon stop if energy remains."
Pontocho Alley,35.0042456,135.7712126,Kyoto,C,★★,04 Kyoto,Atmospheric dining/drinks alley by the Kamo River. Naoya one-day route: dinner + drinks end-of-day; kawadoko riverside dining this season.
Shipporyuji Temple,34.3383538,135.3877684,Osaka,C,★★,06 Osaka,Hidden otherworld temple in the Osaka hills. From 'hidden wonderland' otherworld video.
Nene-no-Michi,35.0005286,135.77995,Kyoto,C,★★,04 Kyoto,"Scenic stone-paved path in Higashiyama, Kyoto (near Kiyomizu/Kodai-ji) with bamboo + lantern-lit atmosphere. Home of the summer Higashiyama Bamboo Light-Up (moon-viewing road) — but that light show runs JULY-AUG only, ended for our Oct trip. Street itself is lovely year-round."
Hiroshima,34.3853,132.4553,Hiroshima,D,★★,08 Hiroshima,"Visit Peace Memorial Park, Museum, Atomic Bomb Dome"
Shinsho-ji Temple / Shinsho-ji Zen Museum and Gardens,34.4969,133.1725,Hiroshima,D,★★,08 Hiroshima,Temple / Garden / Museum – Zen temple with beautiful gardens and a modern museum showcasing tea ceremony artifacts
Itsukushima Shrine (Miyajima),34.2952,132.3196,Hiroshima,D,★★★★,08 Hiroshima,"Shrine / Island – Iconic floating torii gate; explore Miyajima island, deer, and Mount Misen"
Akiyoshido Cave,34.215,131.2365,Yamaguchi,D,★★,90 Yamaguchi,"Cave / Natural site – One of Japan's largest limestone caves, part of Akiyoshidai Quasi‑National Park"
Tomonoura,34.3808768,133.3803274,Hiroshima,D,★★,08 Hiroshima,Hiroshima fishing village that inspired Ponyo's seaside town. Ghibli real-world spot.
Saga,33.2494,130.2986,Saga,E,★★,10 Saga,"Prefecture / Region – Prefecture in Kyushu known for ceramics, hot springs, and rural landscapes"
Suginohara Ranch,33.25,130.3,Saga,E,★★,10 Saga,Ranch / Scenic spot – Ranch offering horseback riding and pastoral views; check exact location within Saga
Okawachiyama,33.2338557,129.8943208,Saga,E,★★,10 Saga,"Imari, Saga – Pottery village famous for Imari ware and traditional kilns"
Torii Sea / Uo Shrine Torii Gate,33.4375,130.0189,Saga,E,★★,10 Saga,"Shrine / Coastal torii – Scenic torii gate standing in the sea, part of Uo Shrine (also called Ouo Shrine)"
Oita Ghibli Tunnel,33.2369,131.6078,Oita,E,★★,11 Oita,"Tunnel / Scenic spot – Tunnel decorated with Studio Ghibli‑themed artwork, popular for photos and trains"
Kumanoza Shrine,32.7898,130.7418,Kumamoto,E,★★,12 Kumamoto,"Shrine – Historic shrine in Kumamoto associated with Kumano faith, surrounded by forest"
